id,shipped_qty,shipment_headers_id,bl_awb_no,ship_date,po_details,purchase_item_name,purchase_item_id,po_number,unit_chg_weight_g,total_chg_weight_g,total_shipment_weight_g,total_shipment_cost_jpy,allocated_shipment_cost_jpy,unit_shipment_cost_jpy
5b3a8c7a-1925-4a1d-85f7-06f33d0fadd4,162,2942e02b-d3b1-4b98-906e-ce24a97953c7,26019114811,2024/8/27,4d38d541-ff8d-4752-8fe3-c8d4a71cc0c2,洗濯タグ（お食事エプロンPU袖なし用）,recrHDqWuIUF0PQwr,PO-0012,0.2,32,78765,23280,10,0
ff8cc2e3-d8ba-4850-9fad-93896587495c,50,2f3cbbe9-0970-49eb-9ae8-d84bd8e6cbaf,26020203580,2024/9/24,ec7631be-649a-4f86-ba6e-48181e82d76a,商品本体　お食事エプロン　トラ,rec7J4fctwb7CReZy,PO-0015,285.18,14259,156388,34416,3138,63
b2758b6f-64a3-4d74-907e-77250d657d82,77,2f3cbbe9-0970-49eb-9ae8-d84bd8e6cbaf,26020203580,2024/9/24,08e4453d-527c-4051-a147-96aa31a86e10,商品本体　お食事エプロン　恐竜,rec8DZQ2DuEkCb6ty,PO-0015,285.18,21959,156388,34416,4832,63
16bf1347-f41e-4fb6-9774-372e544990c7,95,2f3cbbe9-0970-49eb-9ae8-d84bd8e6cbaf,26020203580,2024/9/24,a11bb178-204f-4246-9b0b-6baaaec77bf1,商品本体　お食事エプロン　はたらくくるま,recd2UG1uBWdKGIb3,PO-0015,285.18,27092,156388,34416,5962,63
7cab781d-3a1b-4740-89ff-bf3652afaa34,37,2f3cbbe9-0970-49eb-9ae8-d84bd8e6cbaf,26020203580,2024/9/24,60bec604-f4a4-4cf1-a41c-785957a45d01,商品本体　お食事エプロン　海,recuZ1ITBNc9oYzMa,PO-0015,285.18,10552,156388,34416,2322,63
13bac084-4e0d-4f4f-ab98-86d0326dd4cb,45,2f3cbbe9-0970-49eb-9ae8-d84bd8e6cbaf,26020203580,2024/9/24,0d9fc320-bc39-4168-8c8a-1264657f05f9,商品本体　お食事エプロン　オリーブ,recRJI2sL2nD7DWOg,PO-0015,285.18,12833,156388,34416,2824,63
e208512e-4d78-4e1c-8c0d-d9c970e6d3c5,50,2f3cbbe9-0970-49eb-9ae8-d84bd8e6cbaf,26020203580,2024/9/24,a28ecfbd-2981-47ad-83b1-cacb05102e81,商品本体　お食事エプロン　恐竜Ｂ,rec4Tag8KXQM4IyWk,PO-0015,285.18,14259,156388,34416,3138,63
bfade709-c832-4c38-a69f-f5c4c53ab5e4,50,2f3cbbe9-0970-49eb-9ae8-d84bd8e6cbaf,26020203580,2024/9/24,09fa1f8e-38fb-442d-a7f0-411538bf0f69,商品本体　お食事エプロン　無地（赤）,recCiharjtemJ0bgp,PO-0015,285.18,14259,156388,34416,3138,63
b4138c58-fb23-4a92-bc8f-66be3afcbbf6,48,2f3cbbe9-0970-49eb-9ae8-d84bd8e6cbaf,26020203580,2024/9/24,9b1df0ca-f29c-46c6-816c-b810fea0c8f9,商品本体　お食事エプロン　お花,recaHGeI79L2o0sck,PO-0015,285.18,13689,156388,34416,3012,63
68d0a217-34c3-49fb-af26-a6139e7fffd2,50,2f3cbbe9-0970-49eb-9ae8-d84bd8e6cbaf,26020203580,2024/9/24,7ac6c95b-dfb0-4f66-93d9-0745de8963da,商品本体　お食事エプロン　てんとう虫,recRxRdTX0atFG6j1,PO-0015,285.18,14259,156388,34416,3138,63
21dce907-5809-46ca-a66e-5dd02c674190,46,2f3cbbe9-0970-49eb-9ae8-d84bd8e6cbaf,26020203580,2024/9/24,13f6dab3-8931-46c7-bd47-f93ed66cab8b,商品本体　お食事エプロン　クマ,recl7bY5IwTzVNL0T,PO-0015,285.18,13118,156388,34416,2887,63
7ace34bf-b691-4c36-b726-23e7f05c48ff,548,2f3cbbe9-0970-49eb-9ae8-d84bd8e6cbaf,26020203580,2024/9/24,4d38d541-ff8d-4752-8fe3-c8d4a71cc0c2,洗濯タグ（お食事エプロンPU袖なし用）,recrHDqWuIUF0PQwr,PO-0012,0.2,110,156388,34416,24,0
eb80e799-a6ba-4cf4-9d0d-e2c0a56435e7,19,7a295804-ce24-4f6d-8aec-29c0194e04f4,DQS2945758EQ,2024/11/8,08e4453d-527c-4051-a147-96aa31a86e10,商品本体　お食事エプロン　恐竜,rec8DZQ2DuEkCb6ty,PO-0015,285.18,5418,105231,19799,1019,54
da6b0c84-1cd0-44f4-972f-1e8f8b9d07dc,2,7a295804-ce24-4f6d-8aec-29c0194e04f4,DQS2945758EQ,2024/11/8,7ac6c95b-dfb0-4f66-93d9-0745de8963da,商品本体　お食事エプロン　てんとう虫,recRxRdTX0atFG6j1,PO-0015,285.18,570,105231,19799,107,54
403b9fd9-2ecc-4433-9708-8bcfeeea19af,15,7a295804-ce24-4f6d-8aec-29c0194e04f4,DQS2945758EQ,2024/11/8,a28ecfbd-2981-47ad-83b1-cacb05102e81,商品本体　お食事エプロン　恐竜Ｂ,rec4Tag8KXQM4IyWk,PO-0015,285.18,4278,105231,19799,805,54
0ad78f54-8381-4e5c-bece-fa5e2990272a,10,7a295804-ce24-4f6d-8aec-29c0194e04f4,DQS2945758EQ,2024/11/8,9b1df0ca-f29c-46c6-816c-b810fea0c8f9,商品本体　お食事エプロン　お花,recaHGeI79L2o0sck,PO-0015,285.18,2852,105231,19799,537,54
63b0d30e-fe29-436c-8725-88175e634766,4,7a295804-ce24-4f6d-8aec-29c0194e04f4,DQS2945758EQ,2024/11/8,699807aa-5d1c-4eec-a4b4-28eea0d0cfa8,商品本体　お食事エプロン　オリーブ,recRJI2sL2nD7DWOg,PO-0014,285.18,1141,105231,19799,215,54
ee4535e2-3565-414a-80f2-cf8b3a9b18ce,5,7a295804-ce24-4f6d-8aec-29c0194e04f4,DQS2945758EQ,2024/11/8,ec7631be-649a-4f86-ba6e-48181e82d76a,商品本体　お食事エプロン　トラ,rec7J4fctwb7CReZy,PO-0015,285.18,1426,105231,19799,268,54
108c3be1-aef0-4c66-9828-016b55266dc0,1,7a295804-ce24-4f6d-8aec-29c0194e04f4,DQS2945758EQ,2024/11/8,60bec604-f4a4-4cf1-a41c-785957a45d01,商品本体　お食事エプロン　海,recuZ1ITBNc9oYzMa,PO-0015,285.18,285,105231,19799,54,54
cbb142fb-1743-4975-b8fb-6e79dbf5b995,12,7a295804-ce24-4f6d-8aec-29c0194e04f4,DQS2945758EQ,2024/11/8,a11bb178-204f-4246-9b0b-6baaaec77bf1,商品本体　お食事エプロン　はたらくくるま,recd2UG1uBWdKGIb3,PO-0015,285.18,3422,105231,19799,644,54
69c26866-14ce-4443-ada8-b1cb777a5181,2,7a295804-ce24-4f6d-8aec-29c0194e04f4,DQS2945758EQ,2024/11/8,13f6dab3-8931-46c7-bd47-f93ed66cab8b,商品本体　お食事エプロン　クマ,recl7bY5IwTzVNL0T,PO-0015,285.18,570,105231,19799,107,54
fcc2b98c-6159-45e8-a347-eb616cf34b5d,6,7a295804-ce24-4f6d-8aec-29c0194e04f4,DQS2945758EQ,2024/11/8,09fa1f8e-38fb-442d-a7f0-411538bf0f69,商品本体　お食事エプロン　無地（赤）,recCiharjtemJ0bgp,PO-0015,285.18,1711,105231,19799,322,54
ae737b87-ffa2-44e3-8d58-d6465dc28238,91,14c3230d-54b5-40b4-ab28-3ce547f09efa,DQS2945757EQ,2024/11/8,60241db7-3da3-4c6e-a115-9f1201f691b4,商品本体　お食事エプロン　てんとう虫,recRxRdTX0atFG6j1,PO-0016,285.18,25951,244684,41133,4363,48
d4430b06-f597-4c02-b275-86e8dd2be26c,99,14c3230d-54b5-40b4-ab28-3ce547f09efa,DQS2945757EQ,2024/11/8,9991a7ed-c861-4e23-8d25-54859a9cf204,商品本体　お食事エプロン　クマ,recl7bY5IwTzVNL0T,PO-0016,285.18,28233,244684,41133,4746,48
